Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Gmag G_BPmag G_RPmag
0.008 -0.27576 8.86001 0.0900000036 1.0816895926    0.090 -3.302  3.3937  5.221    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-17      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 13.025 14.897 17.868 13.419
0.008 -0.27576 8.86001 0.0938789472 1.1178403086    0.094 -3.239  3.4032  5.214    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.9e-17      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 12.867 14.739 17.707 13.262
0.008 -0.27576 8.86001 0.1000000015 1.1711064122    0.100 -3.129  3.4191  5.196    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.51e-17      0.00 7.289e-01 2.631e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 12.594 14.440 17.355 12.970
0.008 -0.27576 8.86001 0.1151525155 1.2865019372    0.115 -2.953  3.4416  5.171    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-16      0.00 7.288e-01 2.632e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 12.153 13.738 16.217 12.335
0.008 -0.27576 8.86001 0.1200000048 1.3193154741    0.120 -2.898  3.4485  5.161    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-16      0.00 7.288e-01 2.632e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 12.016 13.524 15.881 12.141
0.008 -0.27576 8.86001 0.1400000006 1.4384526719    0.140 -2.718  3.4678  5.125    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-16      0.00 7.288e-01 2.632e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 11.564 12.862 14.876 11.545
0.008 -0.27576 8.86001 0.1599999964 1.5372931554    0.160 -2.579  3.4812  5.097    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-16      0.00 7.287e-01 2.633e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 11.217 12.376 14.176 11.106
0.008 -0.27576 8.86001 0.1616683304 1.5448069057    0.162 -2.570  3.4820  5.097    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-16      0.00 7.287e-01 2.633e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 11.196 12.347 14.135 11.080
0.008 -0.27576 8.86001 0.1895043701 1.6570069318    0.189 -2.418  3.4948  5.065    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.24e-16      0.00 7.287e-01 2.633e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.814 11.838 13.440 10.620
0.008 -0.27576 8.86001 0.2000000030 1.6938790862    0.200 -2.366  3.4992  5.054    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.6e-16      0.00 7.286e-01 2.634e-01 1.439e-03 3.881e-04 3.520e-03 -1.000 8.000e-03 10.684 11.669 13.217 10.467
